;Volumes;Masses;Prices
Step;0.8419687 m^3;2020.725 kg;101.0362 $
Step cover;4 m^2;64 kg;96 $
Handrail vertical;0.6283185 m^3;1507.964 kg;75.39822 $
Handrail main;0.284002 m^3;681.6049 kg;34.08024 $
Total;;4274.294 kg;306.5147 $
